label,score,twitter_id,date,scale
Negative,0.348570317029953,2254142105,2009-06-20 09:17:32-07:00,1
Negative,0.8331371545791626,2254142236,2009-06-20 09:17:32-07:00,1
Negative,0.3833736181259155,2254142439,2009-06-20 09:17:33-07:00,2
Positive,0.31741875410079956,2254142501,2009-06-20 09:17:34-07:00,5
Negative,0.3335359990596771,2254142725,2009-06-20 09:17:36-07:00,2
Negative,0.5427197813987732,2254142880,2009-06-20 09:17:36-07:00,1
Positive,0.2665337920188904,2254142952,2009-06-20 09:17:36-07:00,5
Negative,0.4518069326877594,2254142957,2009-06-20 09:17:36-07:00,2
Negative,0.28145602345466614,2254143045,2009-06-20 09:17:37-07:00,2
Negative,0.8562589287757874,2254143051,2009-06-20 09:17:37-07:00,1
Positive,0.4309958219528198,2254143284,2009-06-20 09:17:38-07:00,4
Positive,0.412129282951355,2254143424,2009-06-20 09:17:39-07:00,5
Negative,0.5268594622612,2254143864,2009-06-20 09:17:42-07:00,1
Positive,0.4399639666080475,2254144182,2009-06-20 09:17:43-07:00,5
Negative,0.38035428524017334,2254144499,2009-06-20 09:17:45-07:00,2
Negative,0.33429253101348877,2254144671,2009-06-20 09:17:46-07:00,1
Negative,0.7150470018386841,2254144970,2009-06-20 09:17:48-07:00,1
Negative,0.29491522908210754,2254145070,2009-06-20 09:17:48-07:00,1
Negative,0.41363829374313354,2254145449,2009-06-20 09:17:50-07:00,1
Negative,0.5325849652290344,2254145483,2009-06-20 09:17:51-07:00,2
Negative,0.631046712398529,2254145760,2009-06-20 09:17:52-07:00,1
Positive,0.3562650978565216,2254145809,2009-06-20 09:17:52-07:00,4
Negative,0.5234258770942688,2254146043,2009-06-20 09:17:54-07:00,1
Negative,0.44000983238220215,1467841885,2009-04-06 22:27:56-07:00,1
Positive,0.40730777382850647,1467841897,2009-04-06 22:27:56-07:00,5
Neutral,0.453151673078537,1467841969,2009-04-06 22:27:57-07:00,3
Negative,0.6536290645599365,1467842107,2009-04-06 22:28:02-07:00,1
Neutral,0.3435063064098358,1467842299,2009-04-06 22:28:03-07:00,3
Neutral,0.22891193628311157,1467842377,2009-04-06 22:28:04-07:00,3
Negative,0.44086122512817383,1467842448,2009-04-06 22:28:05-07:00,1
Neutral,0.306551992893219,1467842568,2009-04-06 22:28:07-07:00,3
Neutral,0.3222770392894745,1467842607,2009-04-06 22:28:09-07:00,3
Negative,0.4825948178768158,1467842832,2009-04-06 22:28:11-07:00,1
Neutral,0.29358935356140137,1467842837,2009-04-06 22:28:11-07:00,3
Negative,0.40802332758903503,1467843075,2009-04-06 22:28:15-07:00,2
Negative,0.5205129384994507,1467843215,2009-04-06 22:28:18-07:00,1
Negative,0.42152079939842224,1467843470,2009-04-06 22:28:21-07:00,1
Negative,0.515852689743042,1467843624,2009-04-06 22:28:24-07:00,2
Positive,0.3011665940284729,1467843647,2009-04-06 22:28:24-07:00,5
Negative,0.38666585087776184,1467843740,2009-04-06 22:28:26-07:00,1
Negative,0.3581768870353699,1467844097,2009-04-06 22:28:33-07:00,2
Negative,0.2921698987483978,1467844140,2009-04-06 22:28:32-07:00,1
Negative,0.5382246971130371,2254146687,2009-06-20 09:17:57-07:00,1
Positive,0.567493736743927,2254146846,2009-06-20 09:17:58-07:00,5
Positive,0.30299466848373413,2254147070,2009-06-20 09:17:59-07:00,5
Negative,0.39140984416007996,2254147334,2009-06-20 09:18:01-07:00,1
Negative,0.5623651742935181,2254147372,2009-06-20 09:18:01-07:00,1
Negative,0.6799004077911377,2254147870,2009-06-20 09:18:04-07:00,1
Neutral,0.21717984974384308,2254148846,2009-06-20 09:18:09-07:00,3
Negative,0.4948805868625641,2254148913,2009-06-20 09:18:09-07:00,2
Positive,0.2859607934951782,2189604968,2009-06-16 00:26:15-07:00,5
Positive,0.5903967022895813,2189605014,2009-06-16 00:26:15-07:00,5
Negative,0.6825687885284424,2189605129,2009-06-16 00:26:16-07:00,1
Negative,0.41468343138694763,2189605228,2009-06-16 00:26:17-07:00,1
Positive,0.5862418413162231,2189605254,2009-06-16 00:26:17-07:00,5
Positive,0.7219386696815491,2189605311,2009-06-16 00:26:18-07:00,5
Negative,0.698906660079956,2189605374,2009-06-16 00:26:19-07:00,1
Positive,0.3002777099609375,2189605389,2009-06-16 00:26:19-07:00,5
Positive,0.47119784355163574,2189605410,2009-06-16 00:26:19-07:00,5
Negative,0.3562623858451843,2189605440,2009-06-16 00:26:20-07:00,1
Positive,0.45960885286331177,2189605524,2009-06-16 00:26:20-07:00,4
Positive,0.5395568013191223,2189605526,2009-06-16 00:26:20-07:00,5
Negative,0.3020651340484619,2189605559,2009-06-16 00:26:21-07:00,2
Positive,0.8621231913566589,2189605628,2009-06-16 00:26:21-07:00,5
Negative,0.2577737271785736,2189605775,2009-06-16 00:26:23-07:00,1
Positive,0.4533424973487854,2189605781,2009-06-16 00:26:23-07:00,4
Negative,0.5391053557395935,2189605803,2009-06-16 00:26:23-07:00,1
Positive,0.3437385857105255,2189605904,2009-06-16 00:26:24-07:00,5
Negative,0.3880968987941742,2189605978,2009-06-16 00:26:25-07:00,1
